flags,intent,utterance,category,input_ids,attention_mask,labels
BL,complaint,I want to file a consumer complaint against your company,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 1045, 2215, 2000, 5371, 1037, 7325, 12087, 2114, 2115, 2194, 102]"
B,review,help me submit some feedback for your services,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 2393, 2033, 12040, 2070, 12247, 2005, 2115, 2578, 102]"
BIMP,change_order,could you help me add some items?,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 5587, 2070, 5167, 1029, 102]"
BI,complaint,where can I file a complaint?,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 2073, 2064, 1045, 5371, 1037, 12087, 1029, 102]"
BILZ,switch_account,how to use my new profile ?,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2000, 2224, 2026, 2047, 6337, 1029, 102]"
BIP,contact_customer_service,could you help me contacting customer service?,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 3967, 2075, 8013, 2326, 1029, 102]"
BM,cancel_order,problems with canceling my orders,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 3471, 2007, 17542, 2075, 2026, 4449, 102]"
BIMP,delivery_options,could you help me check what delivery options I can choose?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 4638, 2054, 6959, 7047, 1045, 2064, 5454, 1029, 102]"
BI,review,can I submit some feedback for your company?,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 2064, 1045, 12040, 2070, 12247, 2005, 2115, 2194, 1029, 102]"
B,get_refund,I need assistance getting my money back,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2893, 2026, 2769, 2067, 102]"
BIL,edit_account,can you help me correcting the personal data?,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 6149, 2075, 1996, 3167, 2951, 1029, 102]"
BI,contact_customer_service,where do I check what hours I can contact customer service?,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2079, 1045, 4638, 2054, 2847, 1045, 2064, 3967, 8013, 2326, 1029, 102]"
B,check_payment_methods,show me what payment methods you accept,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2265, 2033, 2054, 7909, 4725, 2017, 5138, 102]"
BE,track_order,I do not know what to do to track my order,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 2000, 2079, 2000, 2650, 2026, 2344, 102]"
BL,complaint,I need help to file a consumer complaint,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 1045, 2342, 2393, 2000, 5371, 1037, 7325, 12087, 102]"
BL,check_cancellation_fee,I don't know what to do to check the withdrawal penalty,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 2000, 2079, 2000, 4638, 1996, 10534, 6531, 102]"
BM,payment_issue,help to report issues with payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2000, 3189, 3314, 2007, 7909, 102]"
BM,check_cancellation_fee,I try to check the cancellation fees,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 4638, 1996, 16990, 9883, 102]"
B,check_refund_policy,assistance to check your refund policy,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 5375, 2000, 4638, 2115, 25416, 8630, 3343, 102]"
BM,delivery_period,find information about the delivery periods,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2424, 2592, 2055, 1996, 6959, 6993, 102]"
BIP,place_order,where could I make a purchase?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2071, 1045, 2191, 1037, 5309, 1029, 102]"
B,set_up_shipping_address,I need help to set up another shipping address,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 2275, 2039, 2178, 7829, 4769, 102]"
BIM,delivery_options,can you help me to check what delivery options I can choose?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 2000, 4638, 2054, 6959, 7047, 1045, 2064, 5454, 1029, 102]"
BL,switch_account,help me use a different profile,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 2224, 1037, 2367, 6337, 102]"
B,create_account,I need help registering,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 25719, 102]"
B,change_shipping_address,help me to change the shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 2689, 1996, 7829, 4769, 102]"
BEM,track_refund,I cannot check if there is any updates on my refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 3685, 4638, 2065, 2045, 2003, 2151, 14409, 2006, 2026, 25416, 8630, 102]"
BI,check_payment_methods,can I pay with amex?,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2064, 1045, 3477, 2007, 2572, 10288, 1029, 102]"
BELQ,contact_human_agent,i do not know what i need to do to chat with a live agent,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 1045, 2342, 2000, 2079, 2000, 11834, 2007, 1037, 2444, 4005, 102]"
BM,check_cancellation_fee,I want assistance to check the cancellation fees,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 4638, 1996, 16990, 9883, 102]"
BM,payment_issue,help me report payment issues,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 3189, 7909, 3314, 102]"
B,review,I need to leave a review for your company,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 1045, 2342, 2000, 2681, 1037, 3319, 2005, 2115, 2194, 102]"
B,set_up_shipping_address,I try to set another shipping address up,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 2275, 2178, 7829, 4769, 2039, 102]"
BI,registration_problems,is it possible to report a registration issue?,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 3189, 1037, 8819, 3277, 1029, 102]"
BL,contact_customer_service,help me see what hours customer support available is,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2156, 2054, 2847, 8013, 2490, 2800, 2003, 102]"
B,review,I have to leave a review for your company,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 1045, 2031, 2000, 2681, 1037, 3319, 2005, 2115, 2194, 102]"
BLQ,complaint,i want assistance to file a reclamation,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 1045, 2215, 5375, 2000, 5371, 1037, 27389, 102]"
BLQ,check_payment_methods,want help checking your available payment options,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2215, 2393, 9361, 2115, 2800, 7909, 7047, 102]"
BLQ,change_shipping_address,i need assistance trying to update my delivery address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2667, 2000, 10651, 2026, 6959, 4769, 102]"
BIP,get_invoice,would it be possible to get the invoice?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2052, 2009, 2022, 2825, 2000, 2131, 1996, 1999, 6767, 6610, 1029, 102]"
BIMP,change_order,how could I remove several items from an order?,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 6366, 2195, 5167, 2013, 2019, 2344, 1029, 102]"
BIMP,payment_issue,where could I report issues with payments?,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2071, 1045, 3189, 3314, 2007, 10504, 1029, 102]"
BIP,track_order,could you help me to track the last order?,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2000, 2650, 1996, 2197, 2344, 1029, 102]"
B,delivery_options,assistance checking the delivery options,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 5375, 9361, 1996, 6959, 7047, 102]"
BM,place_order,I need assistance to buy some of your item,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 4965, 2070, 1997, 2115, 8875, 102]"
BI,set_up_shipping_address,where do I set a different shipping address up?,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2079, 1045, 2275, 1037, 2367, 7829, 4769, 2039, 1029, 102]"
BL,create_account,I am trying to open a different account for my mum,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 2330, 1037, 2367, 4070, 2005, 2026, 12954, 102]"
B,cancel_order,I need assistance canceling the last order I have made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 17542, 2075, 1996, 2197, 2344, 1045, 2031, 2081, 102]"
BLZ,newsletter_subscription,help me subscribing to the corporate newsleter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 4942, 11020, 3089, 10472, 2000, 1996, 5971, 2739, 25890, 2099, 102]"
BL,check_payment_methods,help me to list your accepted payment methods,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 2862, 2115, 3970, 7909, 4725, 102]"
B,delete_account,I don't know what to do to delete the account,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 2000, 2079, 2000, 3972, 12870, 1996, 4070, 102]"
BMP,get_refund,I would like to get refunds,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2000, 2131, 25416, 26698, 102]"
B,delivery_options,check the delivery options,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 4638, 1996, 6959, 7047, 102]"
BLZ,registration_problems,notify of issud with online signup,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 2025, 8757, 1997, 26354, 6784, 2007, 3784, 3696, 6279, 102]"
BI,get_refund,how can I get my money back?,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 2131, 2026, 2769, 2067, 1029, 102]"
BIM,check_invoice,where do I find my invoices?,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2079, 1045, 2424, 2026, 1999, 6767, 23522, 1029, 102]"
B,set_up_shipping_address,I am trying to set a new shipping address up,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 2275, 1037, 2047, 7829, 4769, 2039, 102]"
BIMP,get_invoice,where could I get my invoices?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2071, 1045, 2131, 2026, 1999, 6767, 23522, 1029, 102]"
B,edit_account,I don't know how to edit my account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 2000, 10086, 2026, 4070, 102]"
BM,delivery_options,help me check what options for delivery are available,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 4638, 2054, 7047, 2005, 6959, 2024, 2800, 102]"
BIP,check_refund_policy,could I check in what cases can I ask for refunds?,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2071, 1045, 4638, 1999, 2054, 3572, 2064, 1045, 3198, 2005, 25416, 26698, 1029, 102]"
B,change_order,I want help removing an item,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 9268, 2019, 8875, 102]"
BI,switch_account,can you help me use another account?,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 2224, 2178, 4070, 1029, 102]"
BL,recover_password,assistance to retrieve my user account password,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 5375, 2000, 12850, 2026, 5310, 4070, 20786, 102]"
BE,review,I do not know how I can submit some feedback,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 12040, 2070, 12247, 102]"
B,create_account,I don't know how to create an account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 2000, 3443, 2019, 4070, 102]"
BM,payment_issue,I don't know what I have to do to report issues with payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 3189, 3314, 2007, 7909, 102]"
BK,place_order,making order,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2437, 2344, 102]"
BIL,newsletter_subscription,can you help me receiving the newsletter?,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 4909, 1996, 17178, 1029, 102]"
BL,switch_account,I want help switching to my new account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 11991, 2000, 2026, 2047, 4070, 102]"
BM,payment_issue,I try to report issues with payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 3189, 3314, 2007, 7909, 102]"
BL,edit_account,I have to change the information included on my user profile,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2000, 2689, 1996, 2592, 2443, 2006, 2026, 5310, 6337, 102]"
B,set_up_shipping_address,issue setting up another shipping address,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 3277, 4292, 2039, 2178, 7829, 4769, 102]"
BM,change_order,help me remove several items,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 6366, 2195, 5167, 102]"
B,check_refund_policy,check under what circumstances can I ask for a refund,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 4638, 2104, 2054, 6214, 2064, 1045, 3198, 2005, 1037, 25416, 8630, 102]"
BI,place_order,can you help me to buy an item?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 2000, 4965, 2019, 8875, 1029, 102]"
BI,set_up_shipping_address,where to set up another shipping address?,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2000, 2275, 2039, 2178, 7829, 4769, 1029, 102]"
BM,delivery_options,I want help to check what options for delivery I have,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2000, 4638, 2054, 7047, 2005, 6959, 1045, 2031, 102]"
BIMP,delivery_options,where could I check what delivery options I can choose?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2071, 1045, 4638, 2054, 6959, 7047, 1045, 2064, 5454, 1029, 102]"
B,complaint,help me filing a complaint,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 2393, 2033, 15242, 1037, 12087, 102]"
B,edit_account,I need help editing my personal information,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 9260, 2026, 3167, 2592, 102]"
BL,get_refund,help receiving a rebate,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2393, 4909, 1037, 2128, 20179, 102]"
BI,switch_account,can you help me switch user?,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 6942, 5310, 1029, 102]"
BP,delivery_options,I don't know how I could check the delivery options,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2071, 4638, 1996, 6959, 7047, 102]"
BILQ,newsletter_subscription,where to subscribe to ur corporate newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2000, 4942, 29234, 2000, 24471, 5971, 17178, 102]"
B,recover_password,I want assistance to recover my password,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 8980, 2026, 20786, 102]"
BM,payment_issue,help reporting payment issues,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 2393, 7316, 7909, 3314, 102]"
BIL,check_cancellation_fee,what do I need to do to see the cancellation penalty?,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2342, 2000, 2079, 2000, 2156, 1996, 16990, 6531, 1029, 102]"
BLZ,newsletter_subscription,I needto unsubscribe to the newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 3406, 4895, 6342, 5910, 26775, 20755, 2000, 1996, 17178, 102]"
BIP,check_invoice,could you help me finding the invoice from October?,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 4531, 1996, 1999, 6767, 6610, 2013, 2255, 1029, 102]"
B,switch_account,I need help to switch to another account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 6942, 2000, 2178, 4070, 102]"
BEL,switch_account,I do not know what to do to change to a new profile,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 2000, 2079, 2000, 2689, 2000, 1037, 2047, 6337, 102]"
BP,set_up_shipping_address,I don't know how I could set a different shipping address up,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2071, 2275, 1037, 2367, 7829, 4769, 2039, 102]"
B,change_shipping_address,help me change the shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2689, 1996, 7829, 4769, 102]"
BCELZ,complaint,"I am not happy with youur service, assistance filing a claim",FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 1045, 2572, 2025, 3407, 2007, 2017, 3126, 2326, 1010, 5375, 15242, 1037, 4366, 102]"
BCILQ,contact_customer_service,i have to call customer assistance can i get some help,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2031, 2000, 2655, 8013, 5375, 2064, 1045, 2131, 2070, 2393, 102]"
BI,set_up_shipping_address,what do I need to do to set up a different shipping address?,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2342, 2000, 2079, 2000, 2275, 2039, 1037, 2367, 7829, 4769, 1029, 102]"
BP,change_shipping_address,I don't know how I could change the shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2071, 2689, 1996, 7829, 4769, 102]"
BM,change_order,I don't know how to change some items of an order,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 2000, 2689, 2070, 5167, 1997, 2019, 2344, 102]"
BK,cancel_order,canceling order,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 17542, 2075, 2344, 102]"
B,check_payment_methods,I need help to check what payment methods are available,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 4638, 2054, 7909, 4725, 2024, 2800, 102]"
B,check_refund_policy,help to check your refund policy,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2000, 4638, 2115, 25416, 8630, 3343, 102]"
BLW,create_account,I need assistance opening a bloody different user account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 3098, 1037, 6703, 2367, 5310, 4070, 102]"
B,get_refund,I want help to get a refund,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2000, 2131, 1037, 25416, 8630, 102]"
B,change_shipping_address,I have an issue changing the shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2031, 2019, 3277, 5278, 1996, 7829, 4769, 102]"
B,change_shipping_address,I don't know how to change the shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 2000, 2689, 1996, 7829, 4769, 102]"
B,set_up_shipping_address,I want to set up another shipping address,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 2275, 2039, 2178, 7829, 4769, 102]"
BL,switch_account,help me changing to a new account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 5278, 2000, 1037, 2047, 4070, 102]"
B,check_refund_policy,help checking your money back policy,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2393, 9361, 2115, 2769, 2067, 3343, 102]"
BI,cancel_order,where can I cancel the last order I made?,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2064, 1045, 17542, 1996, 2197, 2344, 1045, 2081, 1029, 102]"
BI,get_refund,where to get my money back?,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2073, 2000, 2131, 2026, 2769, 2067, 1029, 102]"
BM,payment_issue,help me to solve an issue with payments,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 9611, 2019, 3277, 2007, 10504, 102]"
B,switch_account,I want assistance switching to another account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 11991, 2000, 2178, 4070, 102]"
B,newsletter_subscription,I have to cancel the company newsletter subscription,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2000, 17542, 1996, 2194, 17178, 15002, 102]"
B,get_invoice,help me to get the invoice from last month,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 2131, 1996, 1999, 6767, 6610, 2013, 2197, 3204, 102]"
BL,change_shipping_address,I need information about modifying the address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2592, 2055, 29226, 1996, 4769, 102]"
B,check_invoice,help me check the invoice from June,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 4638, 1996, 1999, 6767, 6610, 2013, 2238, 102]"
BE,get_invoice,I do not know how to get my invoice,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 2000, 2131, 2026, 1999, 6767, 6610, 102]"
B,review,I don't know what I have to do to submit some feedback,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 12040, 2070, 12247, 102]"
B,get_refund,help getting my money back,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2393, 2893, 2026, 2769, 2067, 102]"
BM,place_order,I need assistance buying several of your item,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 9343, 2195, 1997, 2115, 8875, 102]"
BL,contact_human_agent,assistance to contact a person,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 5375, 2000, 3967, 1037, 2711, 102]"
